state_id,police_homicide,police_homicide_wp,police_homicide_guardian,police_homicide_mpv,police_homicide_kbp,police_homicide_fatal,year,state_abb,pop_100000,std_squire_capacity,termEct,std_med_income,std_employees,std_police_ideal,repLeg,demLeg,repGov,demGov,state,std_black,invLaw,wapost_fbi_dif,guard_fbi_dif,mpv_fbi_dif,kbp_fbi_dif,fatal_fbi_dif,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_pov,black_pov,hispanic_pov,asian_pov,children_0_18,adults_19_25,adults_26_34,adults_35.54,adults_55.64,adults_65up,male_pop,female_pop,total_.incar,income,black_income,unemployment,black_female_16_65_unemp,black_female_65up_unemp,black_male_16_65_unemp,black_male_65up_unemp,homeless
37,10,,,21,,39,2013,OK,38.52415,0.537656007,1,-1.405662724,-0.493530933,2.142164251,1,0,1,0,OKLAHOMA,-0.33482087,0,,,11,,29,3726900,0.677,0.07,0.096,0.017,0.131,0.317,0.234,0.179,0.262,0.096,0.122,0.255,0.123,0.141,0.49,0.51,67700,56963,29949,117778,7566,81,7162,78,4408
38,4,,,13,,18,2013,OR,39.25751,0.694335784,0,-0.063812118,-0.207889114,0.556668667,0,1,0,1,OREGON,-0.907128004,0,,,9,,14,3851600,0.775,0.016,0.123,0.039,0.142,0.32,0.267,0.187,0.229,0.091,0.121,0.266,0.139,0.154,0.493,0.507,84100,65771,32571,206531,2291,106,3649,93,13822
39,24,,,40,,60,2013,PA,127.81338,2.257827564,0,-0.316011494,-0.651106626,-0.50891963,1,0,1,0,PENNSYLVANIA,0.036118939,0,,,16,,36,12344300,0.786,0.104,0.063,0.03,0.098,0.283,0.348,0.191,0.226,0.089,0.112,0.27,0.14,0.163,0.486,0.514,355600,65298,32426,530926,51051,881,54892,924,15086
40,0,,,1,,1,2013,RI,10.53033,0.174614064,0,0.097359882,-0.123314597,-1.674336661,0,1,0,0,RHODE ISLAND,-0.525589915,0,,,1,,1,1008600,0.746,0.052,0.138,0.03,0.082,0.281,0.377,0.127,0.217,0.099,0.116,0.277,0.138,0.154,0.49,0.51,24600,78065,33793,51057,2392,5,2268,56,1384
41,5,,,13,,47,2013,SC,47.67894,0.368782508,0,-1.408661273,-0.228850407,-0.340681777,1,0,1,0,SOUTH CAROLI,1.827228304,0,,,8,,42,4616200,0.642,0.272,0.052,0.013,0.127,0.3,0.297,0.214,0.242,0.094,0.112,0.266,0.133,0.153,0.48,0.52,73500,55187,29670,240779,51287,828,53603,1017,6544
42,1,,,2,,5,2013,SD,8.44922,-1.22024147,1,-0.262358888,-0.72669098,0.298518607,1,0,1,0,SOUTH DAKOTA,-0.928324565,0,,,1,,4,811600,0.837,0.016,0.032,0.01,0.097,0,0.2,0,0.256,0.092,0.12,0.254,0.134,0.145,0.502,0.498,14800,62485,33806,20274,281,0,341,0,1094
43,9,,,21,,33,2013,TN,64.94821,0.114659488,0,-1.54252506,0.107098232,0.184554684,1,0,1,0,TENNESSEE,0.703810596,0,,,12,,24,6318700,0.751,0.166,0.048,0.015,0.145,0.301,0.329,0.094,0.244,0.092,0.116,0.272,0.131,0.146,0.486,0.514,122500,55788,32064,294696,41572,545,41915,535,9528
44,54,,,92,,213,2013,TX,264.73525,0.511474795,0,-0.415070696,0.270097617,2.636578614,1,0,1,0,TEXAS,0.142101742,0,,,38,,159,25773000,0.44,0.113,0.386,0.041,0.094,0.247,0.255,0.108,0.283,0.099,0.128,0.268,0.11,0.112,0.492,0.508,711900,66924,38156,946898,91585,1464,99859,1321,29615
45,0,,,7,,9,2013,UT,29.02663,-0.249297316,0,0.649414142,-0.314690743,-0.02921858,1,0,1,0,UTAH,-0.981315966,0,,,7,,9,2849400,0.796,0.01,0.133,0.022,0.101,0.29,0.243,0.217,0.326,0.11,0.137,0.237,0.093,0.098,0.502,0.498,25200,70777,36441,92118,796,0,1008,0,3277
46,0,,,1,,2,2013,VT,6.2714,-0.461719195,0,-0.220700477,-0.72566416,-1.102810761,0,1,0,1,VERMONT,-0.970717686,0,,,1,,2,602700,0.941,0.01,0.015,0.013,0.127,0,0,0,0.215,0.079,0.106,0.279,0.156,0.167,0.493,0.507,8600,66057,49559,21721,190,0,358,0,1454
