state_id,police_homicide,police_homicide_wp,police_homicide_guardian,police_homicide_mpv,police_homicide_kbp,police_homicide_fatal,year,state_abb,pop_100000,std_squire_capacity,termect,std_med_income,std_employees,std_police_ideal,repleg,demleg,repgov,demgov,state,std_black,invlaw,wapost_fbi_dif,guard_fbi_dif,mpv_fbi_dif,kbp_fbi_dif,fatal_fbi_dif,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_pov,black_pov,hispanic_pov,asian_pov,children_0_18,adults_19_25,adults_26_34,adults_3554,adults_5564,adults_65up,male_pop,female_pop,total_incar,income,black_income,unemployment,black_female_16_65_unemp,black_female_65up_unemp,black_male_16_65_unemp,black_male_65up_unemp,homeless,black_unemp,underreport,black_unemp_per,homeless_per,unemployment_per,total_incar_per,underreport2
39,11,18,24,24,19,48,2015,PA,127.91904,.60528314,0,.37333345,-.64412922,-.50891966,1,0,0,1,PENNSYLVANIA,.025520658,0,7,13,13,8,37,4730100,.77600002,.102,.067000002,.033,.090000004,.278,.31,.154,.22400001,.086000003,.115,.26100001,.14300001,.17,.486,.514,374200,66959,32493,469804,49962,745,53439,814,15421,104960,7,.022189805,.0032601848,.099322215,.079110377,37
39,11,22,24,25,23,35,2016,PA,127.84227,.60528314,0,.43651718,-.63902438,-.50891966,1,0,0,1,PENNSYLVANIA,.03611894,0,11,13,14,12,24,12364700,.773,.103,.07,.033,.093000002,.264,.28299999,.133,.222,.083999999,.119,.257,.145,.17299999,.48800001,.51200002,368100,68587,33645,427151,45352,814,49681,707,15339,96554,11,.0078088427,.0012405476,.034546006,.029770233,24
39,,23,,27,24,51,2017,PA,,.49884668,0,.67147487,-.65140951,-.50891966,1,0,0,1,PENNSYLVANIA,.046717219,0,,,,,,12389100,.76700002,.105,.072999999,.034000002,.090999998,.25299999,.27900001,.14,.222,.082999997,.118,.255,.145,.177,.48800001,.51200002,367300,71113,35349,384783,41128,740,45343,883,14138,88094,,.0071106055,.0011411645,.031058189,.029647028,
40,0,,,1,,1,2013,RI,10.53033,.17461406,0,.097359881,-.1233146,-1.6743367,0,1,0,0,RHODE ISLAND,-.52558994,0,,,1,,1,1008600,.74599999,.052000001,.138,.029999999,.082000002,.28099999,.377,.127,.21699999,.098999999,.116,.27700001,.138,.154,.49000001,.50999999,24600,78065,33793,51057,2392,5,2268,56,1384,4721,,.0046807458,.001372199,.050621655,.024390243,1
40,1,,,1,1,1,2014,RI,10.5448,.17461406,0,.18528162,-.10348438,-1.6743367,0,1,0,1,RHODE ISLAND,-.50439334,0,,,0,0,0,1013700,.741,.054000001,.142,.032000002,.103,.185,.31999999,0,.21799999,.094999999,.119,.27200001,.138,.15800001,.484,.51700002,25100,78894,33969,48980,2278,3,2099,56,1111,4436,,.0043760482,.0010959851,.048318043,.024760777,0
40,0,0,1,0,0,1,2015,RI,10.55607,-.93760997,0,-.12870929,-.12039839,-1.6743367,0,1,0,1,RHODE ISLAND,-.51499164,0,0,1,0,0,1,4730100,.73299998,.052000001,.146,.033,.094999999,.193,.285,.212,.21600001,.096000001,.12,.26800001,.142,.15899999,.484,.51599997,25300,80080,36209,43777,2324,4,1901,44,1111,4273,0,.00090336357,.00023487875,.0092549836,.0053487243,1
40,2,2,2,2,2,2,2016,RI,10.56426,-.93760997,0,.49531016,-.11048328,-1.6743367,0,1,0,1,RHODE ISLAND,-.50439334,0,0,0,0,0,0,1013900,.72799999,.056000002,.15099999,.033,.094999999,.205,.23199999,.105,.213,.096000001,.12,.26300001,.145,.164,.484,.51599997,24300,82124,37046,39616,2172,6,1982,40,1160,4200,0,.0041424204,.0011440971,.039072886,.02396686,0
40,,1,,1,1,1,2017,RI,,-.88473368,0,1.0159867,-.093860894,-1.6743367,0,1,0,1,RHODE ISLAND,-.51499164,0,,,,,,1015900,.722,.054000001,.155,.035,.079999998,.222,.241,.14,.212,.093000002,.124,.259,.145,.167,.48500001,.51499999,23400,85025,38368,35289,2098,6,1580,52,1180,3736,,.0036775274,.0011615317,.034736685,.023033762,
41,5,,,13,,47,2013,SC,47.67894,.36878252,0,-1.4086612,-.22885041,-.34068179,1,0,1,0,SOUTH CAROLI,1.8272283,0,,,8,,42,4616200,.64200002,.27200001,.052000001,.013,.127,.30000001,.29699999,.214,.242,.093999997,.112,.266,.133,.153,.47999999,.51999998,73500,55187,29670,240779,51287,828,53603,1017,6544,106735,,.023121832,.0014176163,.05215957,.015922187,42
41,5,,,22,18,33,2014,SC,48.284302,.36878252,0,-1.2822939,-.33839917,-.34068179,1,0,1,0,SOUTH CAROLI,1.7848352,0,,,17,13,28,4674300,.64099997,.271,.052999999,.014,.118,.29699999,.31099999,.121,.23999999,.090999998,.114,.26300001,.134,.15899999,.48100001,.51899999,71900,55527,29971,224825,49035,862,50661,911,5354,101469,,.02170785,.0011454121,.04809811,.015381983,28
41,11,19,21,21,20,34,2015,SC,48.948341,-.41857743,0,-1.1290466,-.13149859,-.34068179,1,0,1,0,SOUTH CAROLI,1.7954335,0,8,10,10,9,23,4730100,.63999999,.27000001,.052999999,.014,.116,.25999999,.271,.17399999,.236,.093999997,.112,.25999999,.13500001,.164,.48199999,.51800001,70100,55906,30221,202683,44976,945,46995,699,5354,93615,8,.019791337,.0011319,.042849623,.014819982,23
41,12,17,18,18,17,28,2016,SC,49.611191,-.41857743,0,-.27488855,-.12842107,-.34068179,1,0,1,0,SOUTH CAROLI,1.7530403,0,5,6,6,5,16,4805300,.63999999,.26699999,.055,.015,.101,.244,.26199999,.107,.237,.086999997,.116,.25600001,.13600001,.169,.47999999,.51999998,68800,57389,31030,179697,40822,990,41327,564,5051,83703,5,.017418891,.0010511311,.037395585,.014317525,16
41,,12,,15,13,25,2017,SC,,-.22559369,0,-.20688574,-.38236386,-.34068179,1,0,1,0,SOUTH CAROLI,1.7530403,0,,,,,,4864600,.63999999,.26699999,.056000002,.015,.105,.243,.27200001,.13699999,.233,.086000003,.114,.25600001,.13600001,.175,.47999999,.51999998,68000,59583,31960,157244,35471,796,36944,400,3916,73611,,.015131974,.00080499938,.032324139,.013978539,
42,1,,,2,,5,2013,SD,8.4492197,-1.2202414,1,-.26235887,-.72669101,.2985186,1,0,1,0,SOUTH DAKOTA,-.92832458,0,,,1,,4,811600,.83700001,.016000001,.032000002,.0099999998,.097000003,0,.2,0,.25600001,.092,.12,.25400001,.134,.145,.50199997,.498,14800,62485,33806,20274,281,0,341,0,1094,622,,.00076638738,.0013479546,.024980286,.018235585,4
42,3,,,3,3,3,2014,SD,8.52561,-1.2202414,1,-.41228634,-.71604711,.2985186,1,0,1,0,SOUTH DAKOTA,-.90712798,0,,,0,0,0,821600,.83600003,.015,.033,.0099999998,.092,0,.37799999,.45699999,.26100001,.094999999,.117,.245,.134,.148,.5,.5,14500,63903,33516,19286,342,0,298,0,1036,640,,.00077896786,.0012609542,.02347371,.01764849,0
42,2,3,2,3,2,5,2015,SD,8.5791903,-1.7016404,1,-.19681917,-.72085863,.2985186,1,0,1,0,SOUTH DAKOTA,-.92832458,0,1,0,1,0,3,4730100,.829,.014,.034000002,.012,.086999997,.47799999,0,0,.26199999,.089000002,.119,.241,.13600001,.155,.50099999,.49900001,15000,64701,31758,18447,288,0,188,0,1036,476,1,.00010063213,.00021902286,.0038999175,.0031711804,3
42,2,4,6,6,6,6,2016,SD,8.6545401,-1.7016404,1,.05859293,-.71953249,.2985186,1,0,1,0,SOUTH DAKOTA,-.90712798,0,2,4,4,4,4,835800,.82700002,.013,.037,.015,.081,0,.30599999,0,.26300001,.088,.123,.233,.13699999,.15700001,.50199997,.498,15000,66299,35916,16828,171,0,140,0,1072,311,2,.00037209858,.0012826035,.020134004,.017946877,4
42,,3,,3,3,3,2017,SD,,-1.5773851,1,-.00094968302,-.71468657,.2985186,1,0,1,0,SOUTH DAKOTA,-.88593143,0,,,,,,837000,.82499999,.021,.035999998,.013,.079000004,0,.16,0,.25600001,.086000003,.124,.235,.13699999,.162,.50199997,.498,14500,68701,32192,15205,140,0,100,0,943,240,,.00028673836,.0011266428,.018166069,.017323775,
43,9,,,21,,33,2013,TN,64.948212,.11465949,0,-1.5425251,.10709823,.18455468,1,0,1,0,TENNESSEE,.70381057,0,,,12,,24,6318700,.75099999,.16599999,.048,.015,.145,.301,.329,.093999997,.244,.092,.116,.27200001,.131,.146,.486,.514,122500,55788,32064,294696,41572,545,41915,535,9528,84567,,.013383607,.0015079051,.046638709,.019386899,24
43,12,,,25,21,34,2014,TN,65.446632,.11465949,0,-1.4121953,.10631783,.18455468,1,0,1,0,TENNESSEE,.69321233,0,,,13,9,22,6374800,.74800003,.16500001,.048999999,.016000001,.14399999,.308,.366,.146,.242,.093000002,.115,.26800001,.132,.15000001,.484,.51599997,119900,56400,32361,276290,41103,575,38559,577,9123,80814,,.012677103,.0014311037,.043340966,.018808434,22
43,10,20,21,24,22,26,2015,TN,65.950562,-.56347173,0,-1.0251683,.062012639,.18455468,1,0,1,0,TENNESSEE,.68261403,0,10,11,14,12,16,4730100,.745,.16599999,.050999999,.016000001,.139,.257,.296,.086000003,.241,.090999998,.116,.266,.132,.154,.484,.51599997,119900,57029,32344,246810,38007,645,35399,530,9123,74581,10,.015767319,.0019287119,.052178603,.025348302,16
43,15,22,25,26,24,37,2016,TN,66.51194,-.56347173,0,-.59530491,.084287003,.18455468,1,0,1,0,TENNESSEE,.67201573,0,7,10,11,9,22,6467700,.74400002,.164,.052000001,.017999999,.125,.26100001,.287,.104,.23999999,.088,.118,.26499999,.132,.15700001,.484,.51599997,119400,58570,33293,220704,34608,664,31538,612,8779,67422,7,.010424417,.0013573604,.034124032,.018460967,22
43,,27,,28,31,38,2017,TN,,.11795499,0,-.17807825,.11280104,.18455468,1,0,1,0,TENNESSEE,.67201573,0,,,,,,6538200,.741,.164,.054000001,.017999999,.123,.242,.243,.117,.23899999,.086000003,.121,.26100001,.134,.15899999,.484,.51599997,119600,60787,35371,195183,30564,678,28346,568,8309,60156,,.0092006978,.001270839,.029852713,.018292496,
